Species,UCP_ID,Prep_Number,Date_of_death,Intake_date,Necropsy_date,Manner_of_death,County_approximate _ocation,City_approximate_location,Neighborhood,Latitude,Longitude,LatLong_Remark,Dissected_by,Collection_notes_condition,PAWS_Case_Number,Sex,Age,Reproductive status,Suspected_Young_of_Year,Total_length_(mm),Tail_(mm),Right_hind_foot_(mm),Right_ear_(mm),Testes_(mm),Weight_(g),Body_condition_(1-5),Skin_lesions,Ringworm,Ectoparasites,Coloration_claws,Notes_external,Tooth_wear,Bone_marrow_color,Bone_marrow_consistency,Heart,Lungs,Lymph_nodes,Notes_thoracic,Spleen_mass,Liver_mass,Liver_condition_path,Notes_liver_bile ducts_lymphatic,Kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,Kidney_fat_weight_g,Kidney_fat_index_percentage,Uterine_scars_(L+R),Current_pregnancy_(Embryos_L+R),Notes_reproductive_urinary,Additional_notes_and_observations,UPDATE_SAMPLE_SHEET
Raccoon,RAC064,YH157,10/4/23,11/10/23,2/1/24,PAWS,King,Kirkland ,"Juanita high school, 10601 NE 132nd St, Kirkland, WA 98034",47.7167,-122.19989,Specific,"ID, MT",NA,NO CASE NUMBER,Male,Juvenile,Baculum present,NA,885,250,122,56,NA,5690,4,NA,NA,NA,normal,a lot of wax in ears,"tartar of back teeth, remnants of mittens but worn, pearly white ",NA,NA,lots of excess fat on heart,"white/very light bumpy califlowerish, white veining and some dark in color, puffy",NA,lungs have spots with a sandpaper texture (maybe granuloma?),233g,"223 w/gb, but gb popped in weight tray",fatty and surrounded by fat,"had a hard time finding adrneal becase there was so much fat, spleen has same white spotting with sandpaper texture as found on lungs ",NA,29,19,10,52.63157895,NA,NA,NA,broken upper left leg ,TRUE
Raccoon,RAC045,YH134,6/24/23,6/28/23,11/9/23,PAWS,King ,Bothell,NA,47.84146974,-122.1984478,Specific,SK,NA,2023-2139,Male,Juvenile,Baculum present,NA,569,178,89,34,NA,1403.2,2,none observed ,NA,NA,normal,NA,baby teeth just erupting ,NA,NA,normal ,normal ,normal ,NA,3.4g,50.1 w/ gb,some light spotting ,NA,normal ,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"a small amount of blood in lower abdomen, very full bladder, 0.1g kidney fat 15.2 grams whole kidney, lethal hemorage blunt force trauma to skull",TRUE
Raccoon,RAC097,YH206,3/8/24,NA,5/9/24,PAWS,King,Kirkland,"5833 108th Ave NE Kirkland, WA 98033",47.66045566,-122.1970263,Specific,"KH, JC",NA,2024-0347,Male,Adult,Baculum present,NA,840,280,110,56,NA,3523,2,NA,NA,NA,Normal,very matted around abse of tail,"worn mittens, no longer visible and very flat",NA,NA,NA? (no nots taken),"saturated with blood, splotchy coloring, white nodules present of one side",NA,NA,19.1,209.9 w/ gb,"normal, even color",NA,semi-distinct layers between medula and cortex,32.4,23.7,8.7,36.70886076,NA,NA,NA,"coundt find testes eventhough large in size, very messed up lungs ",TRUE
Raccoon,RAC028,YH108,4/5/23,4/18/23,6/30/23,PAWS,King,Everett,NA,47.8810377,-122.1951925,Specific,SK,NA,2023-0472,Male,Adult,Baculum present,no,1038,298,119,30,NA,7240 - whatever the tray was,4,0%,NA,NA,very defined tail stripes,NA,mild wear top and bottom front teeth,NA,NA,dark purple w/ lots of veining,"left lung more or less normal. R lung weird texture w/ extra ""grooves"" and some dark purple spots",one super larger one in groin (collected) others also large,"some frozen yellow lquid in chest, lots of extra connective tissue",20.1,280.6 w/ gb,"very dark green gall bladder, dark purple liver w/ some white spotting",NA,normal,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"spleen has weird splotchiness and dark red, large pancreas",TRUE
Raccoon,RAC076,YH171,1/12/24,2/27/24,2/29/24,PAWS,King,Kirkland,"11004 NE 131st Kirkland, WA",47.71875,-122.19497,Specific,NC,NA,2024-0057,Male,Adult,Baculum present,NA,970,370,116,45,"NA, couldn't find due to abscess",5230,2,"Abscess in groin/right thigh/anus, lesions/scabs on all feet",NA,NA,"normal, very clean & sharp",NA,NA,NA,NA,"deflated/squished, prominent veins",spongy texture,NA,NA,16.8,158.9 w/gb,some discoloration & spotting,"spotting on intestines, darker discoloration on one side of spleen","kidney- minimal distinction between medulla & cortex, gray discoloration on outer edge",19.1,14.9,4.2,28.18791946,NA,NA,NA,"abscess, see skin lesions for more details",TRUE
Raccoon,RAC071,YH145,11/27/23,12/4/23,1/11/24,PAWS,King,Kirkland ,10825 NE 64th st kirkland WA,47.66463409,-122.1948472,Specific,"ID, MT",NA,2023-4287,Female,Adult,No scars observed,NA,890,320,120,55,NA,4900,3,none/normal,NA,NA,looks healthy claws are all present ,NA,a little yellowing on back teeth but overall healthy,NA,NA,"normal, a lot of blood loss when cut ","discoloration, saturated with blood on both sides, white veining on right lung ",normal ,NA,"10.2 g , black discolored patch",195.0 g w/gb,some discoloration with white spotting,NA,good distinction between medulla and cortex,24.1,22.1,2,9.049773756,no scars observed ,none seen,NA,lots of veins of bladder ,TRUE
Coyote,COY066,YH063,4/2/23,4/4/23,4/15/23,USDA Wildlife Services,King,Bothell,NA,47.78572,-122.19214,Specific,"RM, SK",NA,,Male,Adult,Testes present,NA,1251,345,190,119,15,1126,3,NA,NA,NA,Normal,Stinky,Mittens- probs 1 yo,red-pink-brown,spongy,NA,"Normal, marinated in blood",NA,NA,24.7,328.2,NA,NA,"Left kidney uneven surface, both have bumpy nodules",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
Coyote,COY068,YH066,4/2/23,4/4/23,4/20/23,USDA Wildlife Services,King,Bothell,NA,47.78572,-122.19214,Specific,"OC, NB",NA,,Female,Adult,Nipples Enlarged,N,1160,370,160,105,NA,10050,2,NA,NA,None,black tail tip,NA,"some teeth broken, missing a few","pink, normal",jelly; normal,normal,"very pale; bubble gum pink, bubbly, so she inhaled blood",NA,NA,19.5,286.1,NA,NA,feathering on outside ring left  kidney (photo),NA,NA,#VALUE!,#VALUE!,Uterine scars present,"yes, 7 embroyos",NA,"No fat found at all, she looks anemic",TRUE
Raccoon,RAC096,YH205,3/18/24,NA,5/9/24,PAWS,Snohomish,Millcreek ,"14630 31st Dr. SE Millcreek, WA 98012",47.86464973,-122.190433,Specific,"SA, MC",NA,2024-0404,Female,Adult,Uterine scars,no,1000,240,120,50,NA,5000,3,NA,NA,NA,"Toes pads slughty torn up, claws have very litty wear",NA,"Clean/white, dark area on the back of the gums (decomp?)",NA,NA,Normal,Dark patches (decomp?),NA,NA,12.8,211.8 w/ gb,"Crusty white spots on edges, discoloration",NA,Normal,22.2,18.2,4,21.97802198,"thick uterine lining/uterine scarring and small lump extended (lump, darkw ith white spots)",no current pregnancy (unsure),NA,"end of untern horn small (2 mm- 3mm) lump, ar with white spots, some patches of crusty white spots on intestines",TRUE
Coyote,COY037,YH035,12/5/22,12/5/22,2/2/23,Roadkill,King,Bellevue,NA,47.633598,-122.189417,Specific,"EL, SK",NA,,Male,Adult,Testes present,NA,1010,380,195,131,20,10410,3,0%,0,0,NA,No mange,"Light mitten, probably young",NA,NA,"decent amount of fat around heart, heart healthy","foamy lung, very pale, no blood in lungs (died quickly), a little ddark spotting in 1 lung lobe",NA,,11.8,NA,Some yellow thick stripes on liver (could be gall bladder related but not sure took photos),NA,Less differentiation between kidney zones,NA,NA,#VALUE!,#VALUE!,NA,NA,testes pretty far back,"Decent levles of internal subcutaneus fat, severly broken neck, frozen water in esophagus",TRUE
Coyote,COY011,YH019,9/14/22,9/14/22,10/6/22,USDA Wildlife Services,Snohomish,Bothell,NA,47.785353,-122.1862435,Specific,"EL,ER",NA,,Male,Juvenile,Baculum present,NA,1120,310,185,94,NA,7000,2,NA,NA,NA,NA,"Big hole in chest (maybe shotgun), fairly healthy looking, no mange, etc.",Good,pink/red,"good,jelly","No heart, shredded",No lung,Collected pelciv and abdominal lymphnodes-enlarged,Eviscerated:shotgun?,12.4,NA,NA,NA,"Only one, other is with intestines",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
Coyote,COY010,YH018,9/14/22,9/14/22,NA,USDA Wildlife Services,Snohomish,Bothell,NA,47.78535,-122.1862433,Specific,"NB,SK",NA,,Male,Juvenile,N/A,NA,1170,395,180,113,NA,8050,2,"1-5%, possible mange",No,None found,No,NA,New,Pinkish red,Jelly,NA,"lungs have some brown spotting some texture to it, lungs a little pale, pale interior as well","Large, but normal color (light grey with some black spots) under left arm","Shot gun last to thoracic cavity, heart torn in half, ",12.1,NA,"Extremely pale (light pink), bile leaking",Bile leaking,"Yellowish, not a tone of definition between the cortex and medula",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Urinary bladder wall:normal, renal aplasia/hyperplasia/dysplasia:no, uterine scars/reproductive past:no, interstitial nephritis:no, bloated, lots of fat in mesentery, 3/23/23, no parasites too rank ---- weight was highlighted in red in data sheet but it matches up with physical data sheet (JM 7/11/24)",TRUE
Bobcat,BOB005,YH150,11/18/23,12/24,1/18/24,PAWS,King,Bothell,35th and 168th Bothell,47.84584,-122.18546,Specific,"ID, JC",PAWS,2023-4244,Female,Pup,No scars observed,N,810,130,165,70,NA,4200,3 (not super sure ribs very broken so hard to tell),NA,NA,NA,"normal, claws in good condition",NA,N/A; skull crushed in cant see teeth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"looks run over- spine broken, face smashed, many broken bones",TRUE
